Rule 21:
If mother ?b, then parent ?b.
Philip I of France has parent Anne of Kiev, Philip I of France has mother Anne of Kiev The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Joanna of Bourbon, Joanna of Bourbon has mother Isabella of Valois Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Stephen II Duke of Bavaria has parent Beatrice of Silesia, Stephen II Duke of Bavaria has mother Beatrice of Silesia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis I Duke of Bavaria has parent Agnes of Loon, Louis I Duke of Bavaria has mother Agnes of Loon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Eleanor of Austria, Eleanor of Austria has mother Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has mother Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Taddea Visconti has parent Beatrice Regina della Scala, Taddea Visconti has mother Beatrice Regina della Scala The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles VI of France has parent Joanna of Bourbon, Charles VI of France has mother Joanna of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis I Duke of Orl ans has parent Joanna of Bourbon, Louis I Duke of Orl ans has mother Joanna of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis Philippe I has parent Louise Marie Ad la de de Bourbon Duchess of Orl ans, Louis Philippe I has mother Louise Marie Ad la de de Bourbon Duchess of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ferdinand III of Castile has parent Berengaria of Castile, Ferdinand III of Castile has mother Berengaria of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Philip III of France has parent Margaret of Provence, Philip III of France has mother Margaret of Provence The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Robert Count of Clermont, Robert Count of Clermont has mother Margaret of Provence The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Antoine Duke of Montpensier has parent Maria Amalia of Naples and Sicily, Antoine Duke of Montpensier has mother Maria Amalia of Naples and Sicily The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Alfonso VIII of Castile, Alfonso VIII of Castile has mother Blanca of Navarre Queen of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Violant of Hungary has parent Yolanda of Courtenay, Violant of Hungary has mother Yolanda of Courtenay The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Joan of Valois Countess of Hainaut has parent Margaret Countess of Anjou, Joan of Valois Countess of Hainaut has mother Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Philip VI of France has parent Margaret Countess of Anjou, Philip VI of France has mother Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Baldwin IV Count of Flanders has parent Rozala of Italy, Baldwin IV Count of Flanders has mother Rozala of Italy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Philip II of Spain has parent Isabella of Portugal, Philip II of Spain has mother Isabella of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria of Austria Holy Roman Empress has parent Isabella of Portugal, Maria of Austria Holy Roman Empress has mother Isabella of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Frederick Prince of Wales has parent Caroline of Ansbach, Frederick Prince of Wales has mother Caroline of Ansbach The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Lothair of France has parent Gerberga of Saxony, Lothair of France has mother Gerberga of Saxony The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Matilda of France has parent Gerberga of Saxony, Matilda of France has mother Gerberga of Saxony The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Fulk IV Count of Anjou has parent Ermengarde of Anjou Duchess of Burgundy, Fulk IV Count of Anjou has mother Ermengarde of Anjou Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Theobald III Count of Champagne has parent Marie of France Countess of Champagne, Theobald III Count of Champagne has mother Marie of France Countess of Champagne The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
William of Winchester Lord of Lunenburg, William of Winchester Lord of Lunenburg has mother Matilda of England Duchess of Saxony The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Henry III of England has parent Isabella of Angoul me, Henry III of England has mother Isabella of Angoul me The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret of Brabant has parent Margaret of Flanders Duchess of Brabant, Margaret of Brabant has mother Margaret of Flanders Duchess of Brabant The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Lorenzo de Medici has parent Lucrezia Tornabuoni, Lorenzo de Medici has mother Lucrezia Tornabuoni The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabella of Hainault has parent Margaret I Countess of Flanders, Isabella of Hainault has mother Margaret I Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Yolanda Latin Empress has parent Margaret I Countess of Flanders, Yolanda Latin Empress has mother Margaret I Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
William X Duke of Aquitaine has parent Philippa Countess of Toulouse, William X Duke of Aquitaine has mother Philippa Countess of Toulouse The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Rudolph of France has parent Adelaide of Auxerre born c. 870, Rudolph of France has mother Adelaide of Auxerre born c. 870 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Arnulf II Count of Flanders has parent Matilda of Saxony countess of Flanders, Arnulf II Count of Flanders has mother Matilda of Saxony countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Pepin of Herstal has parent Begga, Pepin of Herstal has mother Begga The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Leopold II Holy Roman Emperor has parent Maria Theresa, Leopold II Holy Roman Emperor has mother Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ferdinand Karl Archduke of Austria Este has parent Maria Theresa, Ferdinand Karl Archduke of Austria Este has mother Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Marie Antoinette has parent Maria Theresa, Marie Antoinette has mother Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Mary of Burgundy Duchess of Cleves has parent Margaret of Bavaria, Mary of Burgundy Duchess of Cleves has mother Margaret of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabella of Bourbon has parent Agnes of Burgundy Duchess of Bourbon, Isabella of Bourbon has mother Agnes of Burgundy Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret of Bourbon 1438 1483 has parent Agnes of Burgundy Duchess of Bourbon, Margaret of Bourbon 1438 1483 has mother Agnes of Burgundy Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
John I Duke of Lorraine has parent Marie de Ch tillon 1323 1363, John I Duke of Lorraine has mother Marie de Ch tillon 1323 1363 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Albert I Duke of Brunswic L neburg, Albert I Duke of Brunswic L neburg has mother Matilda of Brandenburg Duchess of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Catherine of Valois, Catherine of Valois has mother Isabeau of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Charles VII of France has parent Isabeau of Bavaria, Charles VII of France has mother Isabeau of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabella Duchess of Lorraine has parent Margaret of the Palatinate, Isabella Duchess of Lorraine has mother Margaret of the Palatinate The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry V of England has parent Mary de Bohun, Henry V of England has mother Mary de Bohun The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis Dauphin of France son of Louis XIV has parent Maria Theresa of Spain, Louis Dauphin of France son of Louis XIV has mother Maria Theresa of Spain The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry VI of England has parent Catherine of Valois, Henry VI of England has mother Catherine of Valois The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Joan the Lame has parent Agnes of France Duchess of Burgundy, Joan the Lame has mother Agnes of France Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Odo IV Duke of Burgundy, Odo IV Duke of Burgundy has mother Agnes of France Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Anne of Bohemia and Hungary has mother Anne of Foix Candale The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Archduchess Maria Theresa of Austria Este 1817 1886 has parent Maria Beatrice of Savoy, Archduchess Maria Theresa of Austria Este 1817 1886 has mother Maria Beatrice of Savoy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Edward I of England has parent Eleanor of Provence, Edward I of England has mother Eleanor of Provence The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Victor Amadeus II of Sardinia has parent Marie Jeanne Baptiste of Savoy Nemours, Victor Amadeus II of Sardinia has mother Marie Jeanne Baptiste of Savoy Nemours The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Dirk III Count of Holland has parent Lutgardis of Luxemburg, Dirk III Count of Holland has mother Lutgardis of Luxemburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Otto I Duke of Bavaria, Otto I Duke of Bavaria has mother Heilika of Lengenfeld The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Marie of France Duchess of Bar has parent Bonne of Luxembourg, Marie of France Duchess of Bar has mother Bonne of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles V of France has parent Bonne of Luxembourg, Charles V of France has mother Bonne of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis I of Anjou, Louis I of Anjou has mother Bonne of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Louis Count of  vreux has parent Marie of Brabant Queen of France, Louis Count of  vreux has mother Marie of Brabant Queen of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Conrad I of Burgundy, Conrad I of Burgundy has mother Bertha of Swabia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Peter II of Aragon has parent Sancha of Castile Queen of Aragon, Peter II of Aragon has mother Sancha of Castile Queen of Aragon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Elizabeth Woodville has parent Jacquetta of Luxembourg, Elizabeth Woodville has mother Jacquetta of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Albert I of Germany has parent Gertrude of Hohenberg, Albert I of Germany has mother Gertrude of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Judith of Habsburg has parent Gertrude of Hohenberg, Judith of Habsburg has mother Gertrude of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Clemence of Austria has parent Gertrude of Hohenberg, Clemence of Austria has mother Gertrude of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret of Artois has parent Blanche of Brittany, Margaret of Artois has mother Blanche of Brittany The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles III Duke of Lorraine has parent Christina of Denmark, Charles III Duke of Lorraine has mother Christina of Denmark The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis XII has parent Marie of Cleves Duchess of Orl ans, Louis XII has mother Marie of Cleves Duchess of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Saint Margaret of Scotland, Saint Margaret of Scotland has mother Agatha wife of Edward the Exile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Afonso II of Portugal has parent Dulce of Aragon, Afonso II of Portugal has mother Dulce of Aragon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Richeza of Poland Queen of Sweden, Richeza of Poland Queen of Sweden has mother Salomea of Berg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Margaret Holland Duchess of Clarence, Margaret Holland Duchess of Clarence has mother Alice Holland Countess of Kent The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Margaret of Bavaria has parent Margaret of Brieg, Margaret of Bavaria has mother Margaret of Brieg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles Ferdinand Duke of Berry has parent Maria Theresa of Savoy, Charles Ferdinand Duke of Berry has mother Maria Theresa of Savoy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Jacquetta of Luxembourg has parent Margaret of Baux, Jacquetta of Luxembourg has mother Margaret of Baux The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Francesco I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has mother Eleanor of Toledo The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Louis Duke of Savoy has parent Mary of Burgundy Duchess of Savoy, Louis Duke of Savoy has mother Mary of Burgundy Duchess of Savoy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Amalia of Saxony has parent Maria Josepha of Austria, Maria Amalia of Saxony has mother Maria Josepha of Austria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Josepha of Saxony Dauphine of France has parent Maria Josepha of Austria, Maria Josepha of Saxony Dauphine of France has mother Maria Josepha of Austria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry the Middle Duke of Brunswic L neburg has parent Anna of Nassau Dillenburg, Henry the Middle Duke of Brunswic L neburg has mother Anna of Nassau Dillenburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Simon I Duke of Lorraine, Simon I Duke of Lorraine has mother Hedwig of Formbach The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
George Duke of Brunswic Calenberg has parent Dorothea of Denmark Duchess of Brunswic L neburg, George Duke of Brunswic Calenberg has mother Dorothea of Denmark Duchess of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Alfonso XI of Castile has parent Constance of Portugal, Alfonso XI of Castile has mother Constance of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles the Fat has parent Hemma, Charles the Fat has mother Hemma The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Peter I of Portugal has parent Beatrice of Castile 1293 1359, Peter I of Portugal has mother Beatrice of Castile 1293 1359 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Afonso III of Portugal, Afonso III of Portugal has mother Urraca of Castile Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Mary Queen of Scots, Mary Queen of Scots has mother Mary of Guise The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Ernest Duke of Austria has parent Viridis Visconti, Ernest Duke of Austria has mother Viridis Visconti The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles Martel has parent Alpaida, Charles Martel has mother Alpaida The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Anne of Kiev has parent Ingegerd Olofsdotter of Sweden, Anne of Kiev has mother Ingegerd Olofsdotter of Sweden The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Leopold Duke of Lorraine has parent Eleonore of Austria Queen of Poland, Leopold Duke of Lorraine has mother Eleonore of Austria Queen of Poland The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Marie of Cleves Duchess of Orl ans has parent Mary of Burgundy Duchess of Cleves, Marie of Cleves Duchess of Orl ans has mother Mary of Burgundy Duchess of Cleves The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis VIII of France has parent Isabella of Hainault, Louis VIII of France has mother Isabella of Hainault The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Liudolf Margrave of Frisia, Liudolf Margrave of Frisia has mother Gisela of Swabia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Henry son of Robert I of Burgundy has parent Helie of Semur, Henry son of Robert I of Burgundy has mother Helie of Semur The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henrietta of England has parent Henrietta Maria, Henrietta of England has mother Henrietta Maria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis VI of France, Louis VI of France has mother Bertha of Holland The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Margaret of Anjou has parent Isabella Duchess of Lorraine, Margaret of Anjou has mother Isabella Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Landgravine Elisabeth Amalie of Hesse Darmstadt has parent Sophia Eleonore of Saxony, Landgravine Elisabeth Amalie of Hesse Darmstadt has mother Sophia Eleonore of Saxony The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry IV of England has parent Blanche of Lancaster, Henry IV of England has mother Blanche of Lancaster The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ferdinand I of Aragon has parent Eleanor of Aragon Queen of Castile, Ferdinand I of Aragon has mother Eleanor of Aragon Queen of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
John I of Portugal has parent Teresa Louren o, John I of Portugal has mother Teresa Louren o The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Duchess Helene of Mecklenburg Schwerin has parent Princess Caroline Louise of Saxe Weimar Eisenach, Duchess Helene of Mecklenburg Schwerin has mother Princess Caroline Louise of Saxe Weimar Eisenach The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Odo I Count of Blois has parent Luitgarde of Vermandois, Odo I Count of Blois has mother Luitgarde of Vermandois The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabella of Aragon Queen of France, Isabella of Aragon Queen of France has mother Violant of Hungary The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier has parent Maria Christina of the Two Sicilies, Infanta Luisa Fernanda Duchess of Montpensier has mother Maria Christina of the Two Sicilies The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy has parent Guilla of Provence, Rudolph II of Burgundy has mother Guilla of Provence The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Clementia of Hungary has parent Clemence of Austria, Clementia of Hungary has mother Clemence of Austria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Sancho I of Portugal has parent Matilda of Savoy Queen of Portugal, Sancho I of Portugal has mother Matilda of Savoy Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Lorenzo de Medici Duke of Urbino has parent Alfonsina Orsini, Lorenzo de Medici Duke of Urbino has mother Alfonsina Orsini The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Anna Maria of Mecklenburg Schwerin has parent Anna Maria of Ostfriesland, Anna Maria of Mecklenburg Schwerin has mother Anna Maria of Ostfriesland The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Eleanor of Aragon Queen of Portugal, Eleanor of Aragon Queen of Portugal has mother Eleanor of Alburquerque The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
John II of Aragon has parent Eleanor of Alburquerque, John II of Aragon has mother Eleanor of Alburquerque The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
William I Count of Hainaut has parent Philippa of Luxembourg, William I Count of Hainaut has mother Philippa of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Beatrice d Este Duchess of Massa has parent Maria Teresa Cybo Malaspina Duchess of Massa, Maria Beatrice d Este Duchess of Massa has mother Maria Teresa Cybo Malaspina Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
John I Duke of Brittany has parent Alix Duchess of Brittany, John I Duke of Brittany has mother Alix Duchess of Brittany The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Antoine Duke of Lorraine has parent Philippa of Guelders, Antoine Duke of Lorraine has mother Philippa of Guelders The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Blanche of Navarre Queen of France has parent Joan II of Navarre, Blanche of Navarre Queen of France has mother Joan II of Navarre The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry II of Castile has parent Eleanor de Guzm n, Henry II of Castile has mother Eleanor de Guzm n The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
James III of Scotland has parent Mary of Guelders, James III of Scotland has mother Mary of Guelders The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
James I of Scotland has parent Anabella Drummond, James I of Scotland has mother Anabella Drummond The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
James IV of Scotland has parent Margaret of Denmark Queen of Scotland, James IV of Scotland has mother Margaret of Denmark Queen of Scotland The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabella of Valois Duchess of Bourbon has parent Mahaut of Ch tillon, Isabella of Valois Duchess of Bourbon has mother Mahaut of Ch tillon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Josepha of Austria has parent Wilhelmine Amalie of Brunswick, Maria Josepha of Austria has mother Wilhelmine Amalie of Brunswick The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Theobald III Count of Blois has parent Ermengarde of Auvergne, Theobald III Count of Blois has mother Ermengarde of Auvergne The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry Stuart Lord Darnley has parent Margaret Douglas, Henry Stuart Lord Darnley has mother Margaret Douglas The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Welf I Duke of Bavaria has parent Kunigunde of Altdorf, Welf I Duke of Bavaria has mother Kunigunde of Altdorf The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis the Stammerer has parent Ermentrude of Orl ans, Louis the Stammerer has mother Ermentrude of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry I Count of Champagne has parent Matilda of Carinthia, Henry I Count of Champagne has mother Matilda of Carinthia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Elizabeth of Luxembourg, Elizabeth of Luxembourg has mother Barbara of Cilli The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Anne of Brittany, Anne of Brittany has mother Margaret of Foix The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Elizabeth of Bohemia 1292 1330 has parent Judith of Habsburg, Elizabeth of Bohemia 1292 1330 has mother Judith of Habsburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Theobald I of Navarre, Theobald I of Navarre has mother Blanche of Navarre Countess of Champagne The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Eadgifu of Wessex has parent  lffl d wife of Edward the Elder, Eadgifu of Wessex has mother  lffl d wife of Edward the Elder The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Robert II Count of Dreux has parent Agnes de Baudemont Countess of Braine, Robert II Count of Dreux has mother Agnes de Baudemont Countess of Braine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Otto IV Count of Burgundy has parent Adelaide Countess of Burgundy, Otto IV Count of Burgundy has mother Adelaide Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
William I Count of Burgundy has parent Alice of Normandy, William I Count of Burgundy has mother Alice of Normandy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Edward King of Portugal has parent Philippa of Lancaster, Edward King of Portugal has mother Philippa of Lancaster The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Joan of  vreux, Joan of  vreux has mother Margaret of Artois The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Philip III of Navarre has parent Margaret of Artois, Philip III of Navarre has mother Margaret of Artois The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Yolanda of Courtenay has parent Yolanda Latin Empress, Yolanda of Courtenay has mother Yolanda Latin Empress The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Baldwin III Count of Flanders has parent Adele of Vermandois, Baldwin III Count of Flanders has mother Adele of Vermandois The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Alfonso II of Aragon has parent Petronilla of Aragon, Alfonso II of Aragon has mother Petronilla of Aragon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Pepin the Short has parent Rotrude of Hesbaye, Pepin the Short has mother Rotrude of Hesbaye The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Philip IV of Spain, Philip IV of Spain has mother Margaret of Austria Queen of Spain The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
