Rule 3:
If mother ?a, then successor ?b.
Berengaria of Castile, Ferdinand III of Castile has mother Berengaria of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Provence, Philip III of France has mother Margaret of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Provence, Robert Count of Clermont has mother Margaret of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Amalia of Naples and Sicily, Antoine Duke of Montpensier has mother Maria Amalia of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Blanca of Navarre Queen of Castile, Alfonso VIII of Castile has mother Blanca of Navarre Queen of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Yolanda of Courtenay, Violant of Hungary has mother Yolanda of Courtenay. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret Countess of Anjou, Joan of Valois Countess of Hainaut has mother Margaret Countess of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret Countess of Anjou has successor Philip VI of France, Philip VI of France has mother Margaret Countess of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Rozala of Italy, Baldwin IV Count of Flanders has mother Rozala of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella of Portugal, Philip II of Spain has mother Isabella of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella of Portugal, Maria of Austria Holy Roman Empress has mother Isabella of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Caroline of Ansbach, Frederick Prince of Wales has mother Caroline of Ansbach. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gerberga of Saxony, Lothair of France has mother Gerberga of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gerberga of Saxony, Matilda of France has mother Gerberga of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ermengarde of Anjou Duchess of Burgundy, Fulk IV Count of Anjou has mother Ermengarde of Anjou Duchess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie of France Countess of Champagne, Theobald III Count of Champagne has mother Marie of France Countess of Champagne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of England Duchess of Saxony, William of Winchester Lord of Lunenburg has mother Matilda of England Duchess of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella of Angoul me, Henry III of England has mother Isabella of Angoul me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Flanders Duchess of Brabant, Margaret of Brabant has mother Margaret of Flanders Duchess of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Lucrezia Tornabuoni, Lorenzo de Medici has mother Lucrezia Tornabuoni. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret I Countess of Flanders, Isabella of Hainault has mother Margaret I Countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret I Countess of Flanders, Yolanda Latin Empress has mother Margaret I Countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Philippa Countess of Toulouse, William X Duke of Aquitaine has mother Philippa Countess of Toulouse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adelaide of Auxerre born c. 870, Rudolph of France has mother Adelaide of Auxerre born c. 870. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of Saxony countess of Flanders, Arnulf II Count of Flanders has mother Matilda of Saxony countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Begga, Pepin of Herstal has mother Begga. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Theresa, Leopold II Holy Roman Emperor has mother Maria Theresa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Theresa, Ferdinand Karl Archduke of Austria Este has mother Maria Theresa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Theresa, Marie Antoinette has mother Maria Theresa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Bavaria, Mary of Burgundy Duchess of Cleves has mother Margaret of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon, Isabella of Bourbon has mother Agnes of Burgundy Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon, Margaret of Bourbon 1438 1483 has mother Agnes of Burgundy Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie de Ch tillon 1323 1363, John I Duke of Lorraine has mother Marie de Ch tillon 1323 1363. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of Brandenburg Duchess of Brunswic L neburg, Albert I Duke of Brunswic L neburg has mother Matilda of Brandenburg Duchess of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabeau of Bavaria, Catherine of Valois has mother Isabeau of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabeau of Bavaria, Charles VII of France has mother Isabeau of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of the Palatinate, Isabella Duchess of Lorraine has mother Margaret of the Palatinate. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mary de Bohun, Henry V of England has mother Mary de Bohun. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Theresa of Spain, Louis Dauphin of France son of Louis XIV has mother Maria Theresa of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Catherine of Valois, Henry VI of England has mother Catherine of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Agnes of France Duchess of Burgundy, Joan the Lame has mother Agnes of France Duchess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Agnes of France Duchess of Burgundy, Odo IV Duke of Burgundy has mother Agnes of France Duchess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Foix Candale, Anne of Bohemia and Hungary has mother Anne of Foix Candale. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Beatrice of Savoy, Archduchess Maria Theresa of Austria Este 1817 1886 has mother Maria Beatrice of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Provence, Edward I of England has mother Eleanor of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie Jeanne Baptiste of Savoy Nemours, Victor Amadeus II of Sardinia has mother Marie Jeanne Baptiste of Savoy Nemours. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Lutgardis of Luxemburg, Dirk III Count of Holland has mother Lutgardis of Luxemburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Heilika of Lengenfeld, Otto I Duke of Bavaria has mother Heilika of Lengenfeld. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Bonne of Luxembourg, Marie of France Duchess of Bar has mother Bonne of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Bonne of Luxembourg, Charles V of France has mother Bonne of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Bonne of Luxembourg, Louis I of Anjou has mother Bonne of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie of Brabant Queen of France, Louis Count of  vreux has mother Marie of Brabant Queen of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Bertha of Swabia, Conrad I of Burgundy has mother Bertha of Swabia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Sancha of Castile Queen of Aragon, Peter II of Aragon has mother Sancha of Castile Queen of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Jacquetta of Luxembourg, Elizabeth Woodville has mother Jacquetta of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gertrude of Hohenberg, Albert I of Germany has mother Gertrude of Hohenberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gertrude of Hohenberg, Judith of Habsburg has mother Gertrude of Hohenberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gertrude of Hohenberg, Clemence of Austria has mother Gertrude of Hohenberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Blanche of Brittany, Margaret of Artois has mother Blanche of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Christina of Denmark, Charles III Duke of Lorraine has mother Christina of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie of Cleves Duchess of Orl ans, Louis XII has mother Marie of Cleves Duchess of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Agatha wife of Edward the Exile, Saint Margaret of Scotland has mother Agatha wife of Edward the Exile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Dulce of Aragon, Afonso II of Portugal has mother Dulce of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Salomea of Berg, Richeza of Poland Queen of Sweden has mother Salomea of Berg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Alice Holland Countess of Kent, Margaret Holland Duchess of Clarence has mother Alice Holland Countess of Kent. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Brieg, Margaret of Bavaria has mother Margaret of Brieg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Theresa of Savoy, Charles Ferdinand Duke of Berry has mother Maria Theresa of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Baux, Jacquetta of Luxembourg has mother Margaret of Baux. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Toledo, Francesco I de Medici Grand Duke of Tuscany has mother Eleanor of Toledo. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mary of Burgundy Duchess of Savoy, Louis Duke of Savoy has mother Mary of Burgundy Duchess of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Josepha of Austria, Maria Amalia of Saxony has mother Maria Josepha of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Josepha of Austria, Maria Josepha of Saxony Dauphine of France has mother Maria Josepha of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anna of Nassau Dillenburg, Henry the Middle Duke of Brunswic L neburg has mother Anna of Nassau Dillenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Hedwig of Formbach, Simon I Duke of Lorraine has mother Hedwig of Formbach. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Dorothea of Denmark Duchess of Brunswic L neburg, George Duke of Brunswic Calenberg has mother Dorothea of Denmark Duchess of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Constance of Portugal, Alfonso XI of Castile has mother Constance of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Hemma, Charles the Fat has mother Hemma. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Beatrice of Castile 1293 1359, Peter I of Portugal has mother Beatrice of Castile 1293 1359. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Urraca of Castile Queen of Portugal, Afonso III of Portugal has mother Urraca of Castile Queen of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mary of Guise, Mary Queen of Scots has mother Mary of Guise. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Viridis Visconti, Ernest Duke of Austria has mother Viridis Visconti. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Alpaida, Charles Martel has mother Alpaida. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ingegerd Olofsdotter of Sweden, Anne of Kiev has mother Ingegerd Olofsdotter of Sweden. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleonore of Austria Queen of Poland, Leopold Duke of Lorraine has mother Eleonore of Austria Queen of Poland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mary of Burgundy Duchess of Cleves, Marie of Cleves Duchess of Orl ans has mother Mary of Burgundy Duchess of Cleves. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella of Hainault, Louis VIII of France has mother Isabella of Hainault. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gisela of Swabia, Liudolf Margrave of Frisia has mother Gisela of Swabia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Helie of Semur, Henry son of Robert I of Burgundy has mother Helie of Semur. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Henrietta Maria, Henrietta of England has mother Henrietta Maria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Bertha of Holland, Louis VI of France has mother Bertha of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella Duchess of Lorraine, Margaret of Anjou has mother Isabella Duchess of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Sophia Eleonore of Saxony, Landgravine Elisabeth Amalie of Hesse Darmstadt has mother Sophia Eleonore of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Blanche of Lancaster, Henry IV of England has mother Blanche of Lancaster. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Aragon Queen of Castile, Ferdinand I of Aragon has mother Eleanor of Aragon Queen of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Teresa Louren o, John I of Portugal has mother Teresa Louren o. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Princess Caroline Louise of Saxe Weimar Eisenach, Duchess Helene of Mecklenburg Schwerin has mother Princess Caroline Louise of Saxe Weimar Eisenach. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Luitgarde of Vermandois, Odo I Count of Blois has mother Luitgarde of Vermandois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Violant of Hungary, Isabella of Aragon Queen of France has mother Violant of Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Christina of the Two Sicilies, Infanta Luisa Fernanda Duchess of Montpensier has mother Maria Christina of the Two Sicilies. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Guilla of Provence, Rudolph II of Burgundy has mother Guilla of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Clemence of Austria, Clementia of Hungary has mother Clemence of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of Savoy Queen of Portugal, Sancho I of Portugal has mother Matilda of Savoy Queen of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Alfonsina Orsini, Lorenzo de Medici Duke of Urbino has mother Alfonsina Orsini. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anna Maria of Ostfriesland, Anna Maria of Mecklenburg Schwerin has mother Anna Maria of Ostfriesland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Alburquerque, Eleanor of Aragon Queen of Portugal has mother Eleanor of Alburquerque. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Alburquerque, John II of Aragon has mother Eleanor of Alburquerque. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Philippa of Luxembourg, William I Count of Hainaut has mother Philippa of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Teresa Cybo Malaspina Duchess of Massa has successor Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has mother Maria Teresa Cybo Malaspina Duchess of Massa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Alix Duchess of Brittany has successor John I Duke of Brittany, John I Duke of Brittany has mother Alix Duchess of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Philippa of Guelders, Antoine Duke of Lorraine has mother Philippa of Guelders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan II of Navarre, Blanche of Navarre Queen of France has mother Joan II of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor de Guzm n, Henry II of Castile has mother Eleanor de Guzm n. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mary of Guelders, James III of Scotland has mother Mary of Guelders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anabella Drummond, James I of Scotland has mother Anabella Drummond. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Denmark Queen of Scotland, James IV of Scotland has mother Margaret of Denmark Queen of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mahaut of Ch tillon, Isabella of Valois Duchess of Bourbon has mother Mahaut of Ch tillon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Wilhelmine Amalie of Brunswick, Maria Josepha of Austria has mother Wilhelmine Amalie of Brunswick. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ermengarde of Auvergne, Theobald III Count of Blois has mother Ermengarde of Auvergne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret Douglas, Henry Stuart Lord Darnley has mother Margaret Douglas. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Kunigunde of Altdorf, Welf I Duke of Bavaria has mother Kunigunde of Altdorf. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ermentrude of Orl ans, Louis the Stammerer has mother Ermentrude of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of Carinthia, Henry I Count of Champagne has mother Matilda of Carinthia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Barbara of Cilli, Elizabeth of Luxembourg has mother Barbara of Cilli. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Foix, Anne of Brittany has mother Margaret of Foix. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Judith of Habsburg, Elizabeth of Bohemia 1292 1330 has mother Judith of Habsburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Blanche of Navarre Countess of Champagne, Theobald I of Navarre has mother Blanche of Navarre Countess of Champagne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
 lffl d wife of Edward the Elder, Eadgifu of Wessex has mother  lffl d wife of Edward the Elder. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Agnes de Baudemont Countess of Braine, Robert II Count of Dreux has mother Agnes de Baudemont Countess of Braine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adelaide Countess of Burgundy has successor Otto IV Count of Burgundy, Otto IV Count of Burgundy has mother Adelaide Countess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Alice of Normandy, William I Count of Burgundy has mother Alice of Normandy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Philippa of Lancaster, Edward King of Portugal has mother Philippa of Lancaster. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Artois, Joan of  vreux has mother Margaret of Artois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Artois, Philip III of Navarre has mother Margaret of Artois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda of Courtenay has mother Yolanda Latin Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adele of Vermandois, Baldwin III Count of Flanders has mother Adele of Vermandois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Petronilla of Aragon has successor Alfonso II of Aragon, Alfonso II of Aragon has mother Petronilla of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Rotrude of Hesbaye, Pepin the Short has mother Rotrude of Hesbaye. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Austria Queen of Spain, Philip IV of Spain has mother Margaret of Austria Queen of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elisabeth of Austria Duchess of Lorraine, Rudolph Duke of Lorraine has mother Elisabeth of Austria Duchess of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Archduchess Maria Clementina of Austria, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has mother Archduchess Maria Clementina of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Hedwig of Bavaria, Judith of Bavaria died 843 has mother Hedwig of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Hedwig of Bavaria, Hemma has mother Hedwig of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie Louise Duchess of Parma, Napoleon II has mother Marie Louise Duchess of Parma. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Beatriz Pereira de Alvim, Isabel of Barcelos has mother Beatriz Pereira de Alvim. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gertrude of S pplingenburg, Henry the Lion has mother Gertrude of S pplingenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Engeltrude de F zensac, Ermentrude of Orl ans has mother Engeltrude de F zensac. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabel of Barcelos, Isabella of Portugal Queen of Castile has mother Isabel of Barcelos. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Catherine of Mayenne, Anne Gonzaga has mother Catherine of Mayenne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elizabeth of Luxembourg, Elizabeth of Austria 1436 1505 has mother Elizabeth of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Countess Caroline of Nassau Saarbr cken, Countess Palatine Caroline of Zweibr cken has mother Countess Caroline of Nassau Saarbr cken. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ermengarde of Hesbaye, Louis the German has mother Ermengarde of Hesbaye. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Savoy Countess of Saint Pol, Marie of Luxembourg Countess of Vend me has mother Margaret of Savoy Countess of Saint Pol. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anna Sophia of Prussia, John VII Duke of Mecklenburg Schwerin has mother Anna Sophia of Prussia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Violant of Bar, Yolande of Aragon has mother Violant of Bar. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Sibylla of Burgundy Duchess of Burgundy, Hugh II Duke of Burgundy has mother Sibylla of Burgundy Duchess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie of Blois Duchess of Anjou, Louis II of Anjou has mother Marie of Blois Duchess of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Anna of Bavaria born 1551, Margaret of Austria Queen of Spain has mother Maria Anna of Bavaria born 1551. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
